1,從芝加哥回來約一個月後，查理將阿爾吉儂帶回實驗室。尼姆教授他們都在心理學辦公室等查理。到底發生什麼事，讓查理猜想尼姆教授應該不會原諒他？,(1) 因查理對她示愛而受驚嚇,(2) 她不認同查理所動的手術,(3) 她的言語嚴重激怒了查理,(4) 她對查理的照顧十分草率,1
2,鄰居費伊送給阿爾吉儂什麼禮物，讓查理覺得很高興？,(1) 發現同事邀請他卻不希望他真的出現,(2) 派對上的燈光及氣氛讓他思念起母親,(3) 察覺同事喜歡他在身邊是為了作弄他,(4) 在派對上被一位他很喜歡的女子拒絕,3
3,文末因為什麼原因查理要託人而不自己放花束到阿爾吉儂的墳上？,(1) 操控烘焙機,(2) 操作收銀機,(3) 製作麵包捲,(4) 操作揉麵機,4
4,查理與父親麥特在什麼場合重逢？,(1) 諾瑪－他的妹妹,(2) 費伊－他的鄰居,(3) 愛麗絲－他的老師,(4) 哈莉葉－他的同學,3
5,查理因同事邀請參加了派對，回家後因為感到胸中一片空虛，有些心痛。第一次故意留在家裡不去工作。他究竟為什麼感到心痛？,(1) 色瞇瞇的看女生,(2) 回到麵包店工作,(3) 進步報告有錯字,(4) 運動神經功能減弱,1
6,查理戮力所完成的研究報告－「阿爾吉儂－高登效應」的結論是什麼？,(1) 查理能操作揉麵機令人吃驚,(2) 查理提醒同事不要中飽私囊,(3) 查理不斷的加薪令同事眼紅,(4) 查理因為要回實驗室常請假,3
7,查理動完手術回到麵包店工作後，與同事逐漸變得格格不入。最終導致他們抵制查理的引爆點是哪一件事？,(1) 想要養一隻屬於自己的狗,(2) 想有一個屬於自己的空間,(3) 同學知道了查理是她哥哥,(4) 覺得爸爸對查理比較偏心,4
8,貫串全書而且影響查理最深的女子是誰？,(1) 在發現被醫生欺騙後,(2) 再也付不出醫藥費後,(3) 華倫之家的人出現後,(4) 在妹妹諾瑪出生之後,3
9,葛理諾醫生收費卻醫治無效，尼姆教授有效的改善查理的認知能力。為什麼查理不恨葛理諾卻恨尼姆他們呢？,(1) 尼姆沒有與他做充分溝通,(2) 尼姆常胡亂對他發洩情緒,(3) 葛理諾把他當「人」看待,(4) 葛理諾會給糖果並安慰他,3
10,尼姆教授他們在芝加哥的國際會議上發表成果。查理在會場上得知許多他原先並不知道的訊息。下列何者不包含在其中？,(1) 自己早期在實驗室的表現與測驗都被錄影,(2) 自己的遲鈍表情與機靈外貌被相機所記錄,(3) 阿爾吉儂的智慧達到巔峰後表現有些無常,(4) 自己是發表會的一部分且將被推出來展示,4
11,從芝加哥回來約一個月後，查理將阿爾吉儂帶回實驗室。尼姆教授他們都在心理學辦公室等查理。到底發生什麼事，讓查理猜想尼姆教授應該不會原諒他？,(1) 阿爾吉儂跑出來,(2) 查理瘋狂的大叫,(3) 尼姆對聽眾咆哮,(4) 現場發生小爆炸,1
12,文末因為什麼原因查理要託人而不自己放花束到阿爾吉儂的墳上？,(1) 因手術的後遺症自己將不久於人世,(2) 推測自己可能將回歸手術前的狀態,(3) 父母年事都已高健康狀況令人憂心,(4) 母親罹患老人痴呆已不太能認得人,2
13,查理從芝加哥回紐約後，為什麼會提到「要儘快去見父母。自己的時間也許沒有想像的多」？,(1) 速食店,(2) 電影院,(3) 理髮店,(4) 咖啡廳,2
14,芝加哥的國際會議以大混亂作結束。為什麼會引起混亂呢？,(1) 雕塑,(2) 畫像,(3) 迷宮,(4) 米妮,3
15,當查理的智力開始退化時，許多他未動手術之前的行為再度出現。下列哪個事件沒有出現在查理的退化階段之中？,(1) 喝醉酒之後,(2) 極度生氣時,(3) 深度睡眠時,(4) 放空發呆時,1
16,查理與父親麥特在什麼場合重逢？,(1) 阿爾吉儂未被妥善照顧,(2) 查理直接與基金會接觸,(3) 查理搞砸了成果發表會,(4) 查理太久沒交進步報告,2
17,文末因為什麼原因查理要託人而不自己放花束到阿爾吉儂的墳上？,(1) 在改善部分缺失後手術可逐漸擴大施行,(2) 在做人體實驗前必須再多做些動物實驗,(3) 提升智慧的手術沒有實際應用的可行性,(4) 動過此手術的動物與人必須一起做訓練,4
18,在查理對妹妹諾瑪的回憶中－妹妹對他歇斯底里的大叫，之後還與他保持距離，對朋友說查理不是她的哥哥。諾瑪究竟是為什麼憤怒？,(1) 三個月,(2) 七個月,(3) 一年,(4) 一年半,3
